end,start,task,text,video_id
61,45,109,cut the chicken into little bit size chunks,vHpqMItXGzg
89,67,109,coat each chicken piece with flour powder and egg mix simultaneously and place it on a plate,vHpqMItXGzg
127,90,109,fry the chicken pieces in oil for 5 minutes on each side under medium flame,vHpqMItXGzg
159,128,109,mix the sauce butter salt pepper and garlic powder,vHpqMItXGzg
195,173,109,mix the chicken with sauce,vHpqMItXGzg
67,54,208,add oil and onions to a pan,vL2hqbnR5HY
110,75,208,add stock and corn flour to the pan,vL2hqbnR5HY
131,120,208,cook the sausages on a grill,vL2hqbnR5HY
148,132,208,mash the potatos with butter,vL2hqbnR5HY
182,148,208,add salt pepper chives and milk to the potatos,vL2hqbnR5HY
67,58,304,heat oil ginger and garlic in the wok,LyHg4jZM3Xo
82,68,304,stir fry the vegetables in the wok,LyHg4jZM3Xo
102,83,304,add the udon noodles to the wok,LyHg4jZM3Xo
133,111,304,add soy sauce and vinegar to the wok,LyHg4jZM3Xo
190,182,304,add sugar to the wok and mix,LyHg4jZM3Xo
203,198,304,drizzle sesame oil on top,LyHg4jZM3Xo
99,61,126,add lime adobo seasoning and cumin to the beef,6bZ4ZJtRmaE
164,126,126,place the beef onto a grill,6bZ4ZJtRmaE
199,166,126,cut the meat into small pieces,6bZ4ZJtRmaE
220,212,126,put the meat onto two soft tortillas,6bZ4ZJtRmaE
249,240,126,add some manchego cheese on the tortillas,6bZ4ZJtRmaE
265,250,126,add some pico de gallo to the tortillas,6bZ4ZJtRmaE
279,270,126,add guacamole to the tortillas,6bZ4ZJtRmaE
293,287,126,add hot sauce to the tortillas,6bZ4ZJtRmaE
23,13,227,chop up the parsley finely,aloPXuBLkDs
40,28,227,pour boiling water on the wheat,aloPXuBLkDs
68,51,227,mix lemon juice with olive oil,aloPXuBLkDs
94,75,227,add the dressing and the the parsley to the wheat,aloPXuBLkDs
116,94,227,mix in cucumbers tomatoes red onion and mint,aloPXuBLkDs
55,31,321,mix corn starch soy sauce and 2 eggs in a bowl and whisk them all to make thick batter,ZFCc4B5Jj_4
63,56,321,take 3 lbs of chicken breast cut into bite size pieces  dip them in the batter to coat,ZFCc4B5Jj_4
72,64,321,deep fry the coated chicken pieces in vegetable oil for 4  5 minutes,ZFCc4B5Jj_4
123,84,321,mix corn starch water soy sauce minced garlic sugar chicken stock white vinegar and white wine,ZFCc4B5Jj_4
155,124,321,saute chopped green onions and red chilies adding olive oil and the liquid mixture to it and cook,ZFCc4B5Jj_4
170,156,321,add the fried chicken give it a stir cook and serve it with rice,ZFCc4B5Jj_4
17,2,404,pour boiled water to rice noodles,X1mE2IWeamI
64,28,404,cut the filet out of chicken breast and slice it to small slices,X1mE2IWeamI
112,84,404,chop some garlic and broccoli,X1mE2IWeamI
122,114,404,heat some olive oil in a pan,X1mE2IWeamI
136,122,404,add the chicken breast salt and pepper,X1mE2IWeamI
186,142,404,add garlic and the broccoli in,X1mE2IWeamI
233,219,404,whisk a egg and add to the pan and keep stirring,X1mE2IWeamI
257,235,404,add the noodles and the chicken mixture in and stir to mix them,X1mE2IWeamI
36,24,221,bake the meatballs in the oven,FQRC8urWpew
59,46,221,add oil and onions to the pan,FQRC8urWpew
67,61,221,add garlic and paprika to the onions,FQRC8urWpew
99,94,221,add tomatos and water to the pan,FQRC8urWpew
108,104,221,add a beef stock cube to the pan,FQRC8urWpew
126,121,221,cook the noodles in a pot of water,FQRC8urWpew
139,132,221,add the meatballs to the pan,FQRC8urWpew
162,146,221,add the peppers and parsley to the pan,FQRC8urWpew
185,172,221,place the peppers meatballs and oregeno on the pasta,FQRC8urWpew
78,42,210,shape mashed potatoes and shredded potatoes into a patty,naTT2_95rpM
95,82,210,heat some oil in a pan,naTT2_95rpM
135,113,210,cook the patty in the pan,naTT2_95rpM
166,160,210,put some cream on the top,naTT2_95rpM
180,167,210,put some smoked salmon on top,naTT2_95rpM
188,184,210,put more cream on top,naTT2_95rpM
195,189,210,add a little bit of herb on top,naTT2_95rpM
50,25,410,add water and salt to a bowl of flour and mix into a dough,gRoxcqIRXOU
66,51,410,knead the dough for three or four minutes,gRoxcqIRXOU
71,67,410,place the dough back in the bowl and cover,gRoxcqIRXOU
83,77,410,cut the dough into four pieces and roll into balls,gRoxcqIRXOU
118,92,410,press the dough out into a disk and roll into a thin circle,gRoxcqIRXOU
130,122,410,place the dough onto a hot pan,gRoxcqIRXOU
136,132,410,flip it over to the other side till it puffs,gRoxcqIRXOU
93,79,122,heat tomato paste in a sauce pan with lid on,LV943DshjOc
130,105,122,mix cornflour water in a bowl,LV943DshjOc
140,133,122,turn off the heat on tomato paste,LV943DshjOc
155,149,122,heat some butter in a pan,LV943DshjOc
195,163,122,add diced carrots and broccoli stir and cook with lid on,LV943DshjOc
229,204,122,drain the tomato paste and pour the juice back,LV943DshjOc
245,231,122,put the cooked vegetables in the juice and add some water,LV943DshjOc
274,261,122,pour the flour mixture in,LV943DshjOc
287,278,122,add salt and black pepper and stir,LV943DshjOc
340,312,122,pour the soup out and garnish with some coriander and cream,LV943DshjOc
46,39,205,add flour and salt to a bowl,1-SJGQ2HLp8
75,49,205,add yeast to water then add to flour and mix,1-SJGQ2HLp8
105,80,205,take the dough out and mix with flour,1-SJGQ2HLp8
120,108,205,pull the dough and fold it repeatedly to knead,1-SJGQ2HLp8
150,130,205,cut the dough into fourths and roll,1-SJGQ2HLp8
198,180,205,place the dough on a pan with flour and warm cloth on top and let sit,1-SJGQ2HLp8
235,210,205,stretch out and press the dough,1-SJGQ2HLp8
250,240,205,spread tomato paste over the dough,1-SJGQ2HLp8
260,252,205,drizzle olive oil on top and sprinkle with salt,1-SJGQ2HLp8
280,261,205,add grated parmesan and pieces of mozzarella cheese on top,1-SJGQ2HLp8
288,283,205,place basil leaves and olive oil on top,1-SJGQ2HLp8
318,298,205,move pizza to paddle and cook in oven,1-SJGQ2HLp8
75,50,316,add oil chopped onions garlic celery and carrots,WEAobzGzPFI
103,99,316,add one cup of cooked chick peas and 1 cup of chopped broccoli,WEAobzGzPFI
118,108,316,add water to the pot,WEAobzGzPFI
179,143,316,whisk miso and water and add the miso to the soup,WEAobzGzPFI
57,20,124,add wheat flour corn starch an egg a pinch of salt and milk and whisk it until sticky,xp899pkRCew
65,59,124,thread the sausage onto skewers or chopsticks,xp899pkRCew
87,80,124,add frozen french fries to a bowl and crush it with hand,xp899pkRCew
135,119,124,dip the sausage stick into the batter and roll it,xp899pkRCew
149,138,124,glue the french fries to the dog,xp899pkRCew
170,160,124,deep fry until golden,xp899pkRCew
180,171,124,add sauce on the hotdog and serve,xp899pkRCew
118,85,105,add fish sauce oyster sauce black pepper and sugar to the chicken,ixaY3TcKFFA
157,127,105,combine flour starch rice flour salt garlic powder onion powder cajun seasoning and pepper,ixaY3TcKFFA
197,162,105,mix italian seasoning and chili powder with the flour mix,ixaY3TcKFFA
238,210,105,coat the chicken in the flour mixture,ixaY3TcKFFA
281,266,105,place the chicken in the oil,ixaY3TcKFFA
46,35,214,add flour to both sides of the foie gras pieces,hrj_nf_ApD0
59,57,214,season the foie gras with pepper,hrj_nf_ApD0
75,61,214,place the foie gras onto a hot pan and season,hrj_nf_ApD0
95,91,214,cut some figs into pieces,hrj_nf_ApD0
109,101,214,remove the foie gras from the pan onto a plate,hrj_nf_ApD0
129,115,214,add butter to a hot pan and add the figs,hrj_nf_ApD0
162,155,214,transfer the figs to a plate,hrj_nf_ApD0
174,165,214,plate the foie gras and figs,hrj_nf_ApD0
216,200,214,add rocket leaves cherry tomatoes and balsamic vinegar to the foie gras,hrj_nf_ApD0
31,27,212,boil potatoes and parsnips in a pot of hot water,UzqlXpAAAWk
40,36,212,cook onions and bacon together in a pan,UzqlXpAAAWk
44,41,212,add the minced meat to the pot and add ketchup,UzqlXpAAAWk
48,45,212,add steakhouse marinade the pot,UzqlXpAAAWk
60,50,212,drain the potatoes and parsnips and mash with milk and butter,UzqlXpAAAWk
70,61,212,add the meat to a dish top with the potato mash and cheese and bake,UzqlXpAAAWk
46,27,117,place 3 egg yolks in a heatproof bowl with 1 tablespoon cold water,EOc8Xiezg8U
51,47,117,whisk for 1 to 2 minutes,EOc8Xiezg8U
65,55,117,slowly add cubes of softened butter,EOc8Xiezg8U
74,67,117,season with salt and lemon juice,EOc8Xiezg8U
110,105,117,bring a wide deep pan of water and 1 tablespoon vinegar to the boil,EOc8Xiezg8U
123,112,117,crack the eggs to the boiled liquid and let them cook until ready,EOc8Xiezg8U
127,124,117,use a slotted spoon to carefully scoop out the poached eggs,EOc8Xiezg8U
134,129,117,drain on kitchen paper to remove any excess water,EOc8Xiezg8U
55,25,323,add oil garlic and ginger to a wok and stir,gbkXkxwlYjw
98,56,323,add pork chops to the wok with salt and pepper and stir,gbkXkxwlYjw
130,103,323,add shredded cabbage and green onions to the wok and stir,gbkXkxwlYjw
174,137,323,add doubanjiang to the wok and stir,gbkXkxwlYjw
266,178,323,add sesame oil and rice to the wok and stir,gbkXkxwlYjw
309,271,323,add mirin soy sauce and black vinegar to the wok and stir,gbkXkxwlYjw
384,324,323,crack an egg in the center of the wok and stir,gbkXkxwlYjw
399,390,323,add ground szechuan pepper to the wok,gbkXkxwlYjw
50,24,101,take baked bacon slices on a plate,QWhn9Ncvvso
73,62,101,toast the bread slices,QWhn9Ncvvso
114,74,101,spread mayonnaise on the bread slices,QWhn9Ncvvso
142,118,101,layer the bacon slices on one bread slice and lettuce on the other,QWhn9Ncvvso
170,144,101,slice the tomato into thick slices,QWhn9Ncvvso
180,171,101,place the tomato slices on top of the lettuce sprinkle some grated pepper,QWhn9Ncvvso
210,183,101,fold the two bread slices on top and cut it into half and serve,QWhn9Ncvvso
48,27,419,add coconut water and onion to the blender,G5DNP4qv51c
67,54,419,blend the ingredients in the blender,G5DNP4qv51c
87,77,419,spread oil on the sheet,G5DNP4qv51c
109,92,419,spread the blended mixture onto the sheet,G5DNP4qv51c
120,115,419,drizzle oilive oil on the mixture,G5DNP4qv51c
151,123,419,place onions garlic parsley pepper salt and thyme on top,G5DNP4qv51c
180,155,419,place the naan in the dehydrator and serve,G5DNP4qv51c
45,14,201,cut open the chicken breast,C2cNcOXGyZA
72,45,201,cover the chicken in plastic wrap and pound the chicken,C2cNcOXGyZA
88,75,201,add pepper and salt to the chicken,C2cNcOXGyZA
114,88,201,coat the chicken with flour,C2cNcOXGyZA
137,114,201,coat the chicken with egg and then coat with breadcrumbs,C2cNcOXGyZA
153,137,201,fry the chicken on each side,C2cNcOXGyZA
184,159,201,pour sauce on top of the chicken,C2cNcOXGyZA
205,184,201,sprinkle mozzarella cheese parmesan cheese and oregano on top,C2cNcOXGyZA
211,205,201,bake the chicken,C2cNcOXGyZA
127,90,105,remove excess fat from the chicken and keep it clean in a tray and season with salt,JzU12Qf5FPg
162,154,105,add butter to a pan,JzU12Qf5FPg
245,187,105,add surfacing flour and chicken to a  bag and mix,JzU12Qf5FPg
348,292,105,fry the the chicken,JzU12Qf5FPg
419,374,105,flip the chicken,JzU12Qf5FPg
464,426,105,bake the chicken in the oven,JzU12Qf5FPg
503,489,105,place the chicken on paper towel,JzU12Qf5FPg
32,13,110,add some olive oil 1 clove garlic salt and pepper to a bowl,M4cDslY_qCg
49,39,110,chop 3 pieces of bread to small cubes and mix the cubes with the mixture,M4cDslY_qCg
65,51,110,put the croutons on a baking pan and bake for 15 minutes,M4cDslY_qCg
101,65,110,in a large bowl add olive oil chopped anchovy fillet mayo salt pepper and lemon juice,M4cDslY_qCg
115,102,110,whisk the mixture well to get the sauce,M4cDslY_qCg
135,130,110,chop some lettuce to small pieces and add to the bowl,M4cDslY_qCg
163,138,110,toss the lettuce well in the sauce and take it out to serve with the homemade croutons,M4cDslY_qCg
40,23,221,pour 2 tbsp of olive oil in a pan and add diced 1 huge onion,v7U70gPylBA
77,49,221,add green and red bell peppers and 5 cherry tomatoes and saute,v7U70gPylBA
102,92,221,add 2 tsp paprika and mix,v7U70gPylBA
128,109,221,add 1 lbs chopped pork meat to it and stir,v7U70gPylBA
133,131,221,add 1 cup of water,v7U70gPylBA
161,159,221,add 1 tsp salt stir and cook,v7U70gPylBA
216,190,221,add carrots parsnip slices of celery root and a cup of celery,v7U70gPylBA
240,229,221,now add cilantro leaves chopped and 3 cloves of garlic and mix all the ingredients well,v7U70gPylBA
247,245,221,add 1 tsp of caraway seeds and stir,v7U70gPylBA
276,256,221,add 2 cups of water stir and cook,v7U70gPylBA
373,292,221,add potatoes crushed hot chilies water salt black pepper stir and cook,v7U70gPylBA
415,395,221,pour the soup into a serving bowl and sprinkle cilantro,v7U70gPylBA
43,41,409,heat some oil in a pan,GridojtCXDE
88,44,409,cook the combined spice and vegetables in the pan,GridojtCXDE
95,89,409,add boiled potatoes and paneer to the pan,GridojtCXDE
103,98,409,season the ingredients with salt,GridojtCXDE
148,139,409,add chopped mint and coriander leaves,GridojtCXDE
152,150,409,add green chilis to the pan,GridojtCXDE
183,170,409,add a packet of biryani masala to the pan and stir,GridojtCXDE
207,195,409,add the yogurt and paneer to the pan,GridojtCXDE
256,246,409,boil some water and add oil and spice to it,GridojtCXDE
263,259,409,add the soaked rice to the liquid,GridojtCXDE
292,287,409,put the mixture on rice,GridojtCXDE
314,301,409,add yogurt and nuts,GridojtCXDE
42,28,419,mix sugar yeast and water,EN1Qf9vcnN0
93,53,419,mix baking powder flour yeast butter and flour,EN1Qf9vcnN0
116,93,419,knead the dough,EN1Qf9vcnN0
136,121,419,spread oil on the dough,EN1Qf9vcnN0
175,166,419,separate a small portion of dough,EN1Qf9vcnN0
197,185,419,spread the dough out,EN1Qf9vcnN0
209,198,419,place the bread on the pan,EN1Qf9vcnN0
227,217,419,flip the bread over,EN1Qf9vcnN0
98,80,412,take a bowl of cooked rice and add crushed garlic and light brown sugar and soyasauce and some white ground,o4gTZoW0SXI
129,101,412,add some vegetable oil in a pan add shrimp and cook for a minute,o4gTZoW0SXI
155,130,412,add baby corn carrots onions red bell pepper which are finely chopped and cook it with shrimp for 2 mins,o4gTZoW0SXI
180,160,412,add the cooked rice and mix it well with vegetables abd shrimp for 2-3 minutes,o4gTZoW0SXI
198,182,412,place shrimp in bowl add fried rice on top place plate on top of bowl flip it serve with lime,o4gTZoW0SXI
97,44,104,crack two eggs into a bowl and whisk,Gf4eEhDpxgk
116,105,104,add salt and pepper to the bowl and mix,Gf4eEhDpxgk
134,130,104,add butter to a hot pan,Gf4eEhDpxgk
164,156,104,pour the eggs into the pan,Gf4eEhDpxgk
248,185,104,push the egg too the center of the pan,Gf4eEhDpxgk
256,249,104,place the eggs onto a serving plate,Gf4eEhDpxgk
85,27,218,whisk an egg sour cream water milk and flour,Ax165ic4b3o
160,92,218,knead and roll the dough and cut out pieces,Ax165ic4b3o
235,189,218,wrap the cabbage and drain the water out of it and grind the cabbage,Ax165ic4b3o
280,236,218,add half a stick of butter black pepper and salt,Ax165ic4b3o
344,300,218,stretch the dough and place a small tsp of filling in the middle fold it and seal it at the edges,Ax165ic4b3o
383,353,218,cook the pierogies in salted boiling water,Ax165ic4b3o
414,384,218,spread melted butter on a plate and transfer the cooked pierogies,Ax165ic4b3o
15,13,213,bake two pieces of white bread,7dUpBLA2C6I
30,21,213,melt some butter and add some flour in a pot,7dUpBLA2C6I
37,30,213,add some milk and whisk to get a smooth sauce,7dUpBLA2C6I
58,43,213,add some parmesan cheese and keep whisking with low heat,7dUpBLA2C6I
81,73,213,add one layer of yellow mustard gruyere and ham on one bread and then top with the other bread,7dUpBLA2C6I
103,86,213,top it with the previous sauce and some cheese and bake until cheese melts,7dUpBLA2C6I
47,34,121,cook the onions in pot with melted butter,BUhMeYMzydE
87,49,121,add bell peppers celery thyme and bay leaves to the pot,BUhMeYMzydE
114,88,121,add potatoes clam juice and worcestershire sauce to the pot,BUhMeYMzydE
133,121,121,when the soup boils add clams to the soup,BUhMeYMzydE
144,134,121,mix flour and half and half together,BUhMeYMzydE
160,144,121,pour the flour mixture into the soup and stir,BUhMeYMzydE
175,163,121,mix in sriracha sauce,BUhMeYMzydE
195,187,121,garnish with green onion,BUhMeYMzydE
34,28,218,combine flour salt and sour cream,IPl_MdY9yNQ
54,38,218,knead the dough unil elastic,IPl_MdY9yNQ
104,74,218,mix potatos salt cheese butter and parsley,IPl_MdY9yNQ
126,105,218,thinly roll out the dough,IPl_MdY9yNQ
144,126,218,cut circles out of the dough,IPl_MdY9yNQ
158,146,218,place the stuffing in the center of the wrappers,IPl_MdY9yNQ
192,164,218,place the cabbage on the stuffing,IPl_MdY9yNQ
230,198,218,fold the wrapper over and press the edges together,IPl_MdY9yNQ
260,237,218,add salt and the perogies to the water,IPl_MdY9yNQ
291,276,218,fry the onions in a pan with salt pepper and herbs,IPl_MdY9yNQ
298,294,218,move the pierogies to the pan,IPl_MdY9yNQ
58,38,225,wash northern beans in water and drain,3HKIO_gPWQQ
99,59,225,add bay leaves and garlic cloves,3HKIO_gPWQQ
120,107,225,add salt and tomato sauce,3HKIO_gPWQQ
224,218,225,add pasta to boiling water,3HKIO_gPWQQ
307,252,225,pour the cooked beans on the pasta and mix it together,3HKIO_gPWQQ
64,55,302,heat some oil in a pan,s99K_WyajB8
74,66,302,add some minced garlic to the pan,s99K_WyajB8
85,75,302,add chopped red onion to the pan,s99K_WyajB8
103,85,302,add carrot slices to the pan and stir,s99K_WyajB8
118,103,302,add finely chopped white onion to the pan,s99K_WyajB8
140,125,302,add finely chopped green onion to the pan and black pepper and salt,s99K_WyajB8
246,216,302,place the mixture in some spring roll bases and roll them up,s99K_WyajB8
324,291,302,fry the spring rolls in oil and serve with ketchup,s99K_WyajB8
159,74,107,add some flour salt pepper and calamari to a plastic bag,8fVUcbC8MgM
178,160,107,mix the bag,8fVUcbC8MgM
205,184,107,shake off flour and add the calamari to the oil,8fVUcbC8MgM
274,262,107,drain the fried calamari with paper towel,8fVUcbC8MgM
47,24,120,slice potatoes into thin strips and add one cup of thinly slice onion,qHhjAnASggk
62,47,120,toss mixture add 1 tsp dry parsley flakes 2 tbsp all purpose flour 1 tsp corn starch black pepper  salt,qHhjAnASggk
81,62,120,mix the ingredients together and add one beaten egg,qHhjAnASggk
100,81,120,take some cooking oil in a pan on a high heat and add hash brown mixture,qHhjAnASggk
128,100,120,cook the hash brown until brown,qHhjAnASggk
17,10,313,roll some rice by hand into an egg shape,EyAdFQJv2LY
22,19,313,hold the fish in the other hand,EyAdFQJv2LY
32,25,313,press the rice into the fish and push down with thumb,EyAdFQJv2LY
38,33,313,flip the fish over and press the rice into it,EyAdFQJv2LY
49,43,313,garnish the sushi with a piece of grated ginger,EyAdFQJv2LY
82,66,403,scramble the egg in the pan,9rS18VIXt1w
140,97,403,add oil coleslaw mix drained noodles and sauce to the pan,9rS18VIXt1w
155,141,403,toss the noodles,9rS18VIXt1w
163,156,403,add chicken and egg,9rS18VIXt1w
28,20,215,melt truffle butter in a hot pan and add escargot,MrYB9qNgbJ4
32,29,215,add lobster to the pan,MrYB9qNgbJ4
62,52,215,add fiddleheads english peas and pickled green beans to the pan,MrYB9qNgbJ4
75,70,215,add some stock to the pan,MrYB9qNgbJ4
101,96,215,add truffle oil to the pan,MrYB9qNgbJ4
139,125,215,transfer the escargot from the pan to a plate,MrYB9qNgbJ4
98,93,413,cut a red onion and mix with some minced garlic,We4NsM_moJQ
107,99,413,combine soy sauce fish sauce and sugar with them and mix them well,We4NsM_moJQ
130,109,413,marinate the pork shoulder in the sauce,We4NsM_moJQ
174,165,413,peel and chop carrot and daikon into strips and put in a bowl,We4NsM_moJQ
190,182,413,season with salt and sugar,We4NsM_moJQ
214,207,413,rinse the daikon and carrot,We4NsM_moJQ
230,217,413,combine some sugar in warm water until they dissolve,We4NsM_moJQ
240,233,413,pour the sugar water to the daikon and carrot,We4NsM_moJQ
264,250,413,grill the meat on a pan,We4NsM_moJQ
311,284,413,put mayo meat prepared vegetables cilantro and green chili between the buns,We4NsM_moJQ
330,324,413,squeeze some sauce in it and cover the sandwich to serve,We4NsM_moJQ
63,47,119,saute diced onions and bell peppers on the pan using olive oil,GAKI57aE3Yo
81,63,119,add garlic paprika and dried thyme,GAKI57aE3Yo
146,103,119,in a bowl combine ground beef bread crumbs cream beaten egg worcestershire sauce salt pepper and some beef broth,GAKI57aE3Yo
168,147,119,add the onion pepper mixture to the bowl and mix all the ingredients,GAKI57aE3Yo
209,194,119,place the beef mixture in the meatload pan,GAKI57aE3Yo
230,219,119,bake the meatloaf mixture in the oven at 350 degrees,GAKI57aE3Yo
266,233,119,place the turkey in the bowl and add the same spices as when making a beef meatloaf,GAKI57aE3Yo
282,266,119,mix some worcestershire sauce mustard pepper and ketchup in small bowl,GAKI57aE3Yo
286,284,119,bake the turkey mixture in the oven,GAKI57aE3Yo
312,286,119,pour the sauce on the loaves and bake them again in the oven for 15 to 20 minutes,GAKI57aE3Yo
104,71,229,blend the chickpeas in a food processor,SZ7TtauNFRU
122,110,229,blend the fava beans in a food processor,SZ7TtauNFRU
139,135,229,blend the cilatnro parsley and onion in the food processor,SZ7TtauNFRU
155,140,229,add garlic to the food processor and blend,SZ7TtauNFRU
213,167,229,mix the blended ingredients together,SZ7TtauNFRU
254,215,229,add coriander cumin cayenne bread crumbs and salt and mix,SZ7TtauNFRU
277,264,229,mix in flour,SZ7TtauNFRU
320,306,229,mix in baking powder and baking soda,SZ7TtauNFRU
383,359,229,form the falafel into balls and fry in oil,SZ7TtauNFRU
510,504,229,spread the sauce on the pita,SZ7TtauNFRU
535,510,229,add vegetables and garlic sauce to the pita,SZ7TtauNFRU
546,537,229,place the falafel on the sandwich,SZ7TtauNFRU
582,569,229,roll up the sandwich,SZ7TtauNFRU
177,129,421,mix flour salt oil and water in a bowl,FG7gL0oxMDs
198,180,421,shape the mixture to a base with hand,FG7gL0oxMDs
208,200,421,drop a little oil on the base and cover it and set it aside,FG7gL0oxMDs
255,211,421,heat oil mustard seeds cumin seeds turmeric powder green chilli onion and stir,FG7gL0oxMDs
279,260,421,add streamed potato to the pan and stir,FG7gL0oxMDs
285,280,421,add cilantro and garlic masala powder,FG7gL0oxMDs
310,306,421,add 1 tbsp of salt to the pan,FG7gL0oxMDs
388,349,421,knead the base and divide it into small portions,FG7gL0oxMDs
443,393,421,shape the small protion of base to flat shape and then take half of it and make a cone,FG7gL0oxMDs
511,452,421,put the cooked mixture in the cone and wrap it to a samosa shapte,FG7gL0oxMDs
578,525,421,put the samosa in deep oil to fry and then serve,FG7gL0oxMDs
99,58,302,mix soy sauce sugar sesame oil chicken broth and corn flour in a bowl,AEpS4UBE6ds
118,107,302,stir fry ginger,AEpS4UBE6ds
156,123,302,add chicken breast into the pan and fry,AEpS4UBE6ds
200,157,302,add carrot red capsicum and mushroom and fry,AEpS4UBE6ds
224,202,302,pour the prepared sauce into the pan and cook until the sauce thickens,AEpS4UBE6ds
245,233,302,place the spring roll sheets on a damp cloth,AEpS4UBE6ds
278,252,302,add rice vermicelli and coriander to the pan,AEpS4UBE6ds
330,300,302,put the filling on the wrap and roll the wrap,AEpS4UBE6ds
386,340,302,add the rolls to a pot of hot oil and fry until golden brown,AEpS4UBE6ds
67,59,215,preheat grill,A4pTxrrBtMU
88,68,215,place butter snails and shalots in a pan and stir,A4pTxrrBtMU
98,91,215,add wine to pot and boil,A4pTxrrBtMU
106,99,215,remove pan from heat and transfer snails to bowl,A4pTxrrBtMU
126,107,215,put butter garlic parsley salt and bread crumbs in a bowl and mix well,A4pTxrrBtMU
131,128,215,put snails back in shell,A4pTxrrBtMU
150,132,215,spread garlic butter onto snail and place on baking tray,A4pTxrrBtMU
168,151,215,grill snails and serve,A4pTxrrBtMU
74,68,317,add black pepper to the sliced beef,UZGqsSB9cSQ
101,75,317,add sliced asian pear soy sauce sesame oil onion and garlic to a blender,UZGqsSB9cSQ
110,102,317,turn on the blender to mix the ingredients,UZGqsSB9cSQ
138,118,317,pour the marinade onto the beef and mix by hand,UZGqsSB9cSQ
155,139,317,add the chopped green onion and sesame seeds to the beef and mix,UZGqsSB9cSQ
195,156,317,put the beef onto a pan and place to the pan on a stove to heat,UZGqsSB9cSQ
216,198,317,place the beef and ssamjang paste onto a piece of lettuce,UZGqsSB9cSQ
52,26,207,peel and slice the potatos,WrJ_Xj9FArM
62,56,207,pour oil and sprinkle salt and pepper over the potatos,WrJ_Xj9FArM
67,62,207,bake the potatos in the oven,WrJ_Xj9FArM
96,83,207,mix flour pepper and beer together,WrJ_Xj9FArM
113,100,207,coat the fish in flour salt and pepper,WrJ_Xj9FArM
132,129,207,dip the fish in the batter,WrJ_Xj9FArM
154,134,207,fry the fish in the oil,WrJ_Xj9FArM
184,182,207,boil the peas in the pot of water,WrJ_Xj9FArM
202,186,207,chop up the mint finely,WrJ_Xj9FArM
213,204,207,mash the peas with the mint and creme fraiche,WrJ_Xj9FArM
217,213,207,add salt and pepper to the peas,WrJ_Xj9FArM
51,40,113,spread the butter on two pieces of bread,RoLhMa9SHsI
68,56,113,heat one piece in the pan and brush some aioli on top,RoLhMa9SHsI
87,74,113,add the cheese on top and brush more aioli on top,RoLhMa9SHsI
118,90,113,add the pickles slices of jalapeno tomatoes and the chadders on top,RoLhMa9SHsI
138,131,113,top it off with the other piece of bread,RoLhMa9SHsI
158,140,113,let it cook on low heat and then flip it,RoLhMa9SHsI
188,179,113,take it out to serve when both sides are ready,RoLhMa9SHsI
39,27,104,put the eggs in a bowl and whisk them,RAsemdTGDYk
71,39,104,whisk water with the eggs,RAsemdTGDYk
82,73,104,add oil to the pan,RAsemdTGDYk
94,88,104,add the eggs to the pan,RAsemdTGDYk
170,94,104,push the egg in the pan,RAsemdTGDYk
207,198,104,add salt and pepper to the eggs,RAsemdTGDYk
62,47,201,season chicken with salt black pepper and garlic powder,eZqq8C0U49M
90,77,201,rub that in and do it on the other side,eZqq8C0U49M
111,97,201,pour 1/4 parmesan cheese to some tomato pasta and mix up,eZqq8C0U49M
163,115,201,pour the mixed sauce on a baking pan put the chicken breast on it and pour some sauce over it,eZqq8C0U49M
196,168,201,cook it in an oven for 30 minutes and top with mozzarella cheese and cook for another 5 minutes,eZqq8C0U49M
38,14,310,scrape off the belly side from the meat taking off the tendons,sje4izweMUg
91,59,310,cut small pieces of the meat diagonally against the grain mark,sje4izweMUg
109,93,310,then cut straight down into square pieces,sje4izweMUg
63,50,412,add sauces and spices to the boneless chicken,Cgyi5kaU7Qc
70,65,412,mix the chicken with hands,Cgyi5kaU7Qc
90,77,412,add oil to pan,Cgyi5kaU7Qc
125,90,412,cook the chicken,Cgyi5kaU7Qc
140,130,412,add ginger and garlic,Cgyi5kaU7Qc
145,138,412,add onions,Cgyi5kaU7Qc
165,150,412,add vegetables,Cgyi5kaU7Qc
173,165,412,saute the food,Cgyi5kaU7Qc
205,177,412,add the sauces to the pan,Cgyi5kaU7Qc
223,210,412,mix everything up,Cgyi5kaU7Qc
240,224,412,add rice,Cgyi5kaU7Qc
273,266,412,add egg to the pan,Cgyi5kaU7Qc
293,280,412,add spices,Cgyi5kaU7Qc
28,23,117,add butter to a hot pot,fw_3Bg17UFU
71,50,117,break some eggs and add the yolk into a bowl,fw_3Bg17UFU
99,80,117,add the egg yolks cayenne pepper salt and lemon juice to a blender,fw_3Bg17UFU
132,120,117,add the butter into the blender while on,fw_3Bg17UFU
161,154,117,add vinegar and salt to a pot of boiling water,fw_3Bg17UFU
179,173,117,pour an egg into the pot,fw_3Bg17UFU
211,209,117,place slices of canadian bacon onto a hot pan,fw_3Bg17UFU
265,237,117,place the bacon poached egg hollandaise sauce and chives on top of an english muffin,fw_3Bg17UFU
76,62,215,heat the butter in a sauce pan,fJ47lmh3uiU
106,103,215,add the onions to the pan,fJ47lmh3uiU
126,121,215,season with a little bit salt,fJ47lmh3uiU
198,194,215,add the snails to the pan,fJ47lmh3uiU
